frame_number,keypoint,Elbow angle,Knee angle,Shoulder-Elbow angle
14,"[[    0.30695     0.28657]
 [    0.31534     0.28017]
 [          0           0]
 [    0.33381      0.2868]
 [          0           0]
 [    0.33138     0.33775]
 [    0.36192     0.32671]
 [    0.31778     0.40728]
 [          0           0]
 [    0.28251     0.43715]
 [          0           0]
 [    0.33484     0.46106]
 [    0.35446     0.45554]
 [    0.32064     0.57308]
 [    0.33944     0.56508]
 [    0.35325     0.68188]
 [    0.36217      0.6691]]",148.31485592220994,163.15977371786215,8.87912946145648
15,"[[    0.30695     0.28657]
 [    0.31534     0.28017]
 [          0           0]
 [    0.33381      0.2868]
 [          0           0]
 [    0.33138     0.33775]
 [    0.36192     0.32671]
 [    0.31778     0.40728]
 [          0           0]
 [    0.28251     0.43715]
 [          0           0]
 [    0.33484     0.46106]
 [    0.35446     0.45554]
 [    0.32064     0.57308]
 [    0.33944     0.56508]
 [    0.35325     0.68188]
 [    0.36217      0.6691]]",148.31485592220994,163.15977371786215,8.87912946145648
16,"[[    0.28898     0.29928]
 [     0.2988     0.29243]
 [          0           0]
 [     0.3262     0.29719]
 [          0           0]
 [    0.32895     0.34685]
 [    0.34863     0.33546]
 [    0.32151     0.41892]
 [          0           0]
 [    0.28062      0.4438]
 [          0           0]
 [    0.34506     0.47038]
 [    0.35641     0.46506]
 [    0.33907     0.57951]
 [    0.34558     0.57173]
 [    0.36978     0.69259]
 [    0.36792     0.68002]]",135.24709273048168,167.09760804304025,9.306245962190717
17,"[[    0.28733     0.28766]
 [    0.29753     0.28132]
 [          0           0]
 [    0.32498     0.29156]
 [          0           0]
 [     0.3273     0.34798]
 [    0.35013     0.33655]
 [    0.31179      0.4192]
 [          0           0]
 [    0.26522     0.45815]
 [          0           0]
 [    0.34663     0.46912]
 [    0.36037     0.46384]
 [     0.3367     0.58275]
 [    0.35021     0.57581]
 [    0.37093     0.69406]
 [    0.37419     0.68327]]",148.83537395504374,164.41824076529178,14.975371620282568
18,"[[    0.28874     0.28765]
 [    0.29598     0.28137]
 [          0           0]
 [    0.31982     0.29227]
 [          0           0]
 [    0.32592     0.34955]
 [    0.36281     0.33534]
 [    0.31394     0.42498]
 [          0           0]
 [    0.26197     0.46238]
 [          0           0]
 [    0.34737     0.47217]
 [    0.36906     0.46546]
 [    0.34217     0.58385]
 [    0.36045     0.57274]
 [    0.37348      0.6966]
 [    0.37758     0.67814]]",142.24563018614361,167.19325870411706,13.262631342236332
19,"[[     0.2903     0.29233]
 [    0.29731     0.28566]
 [          0           0]
 [    0.32167     0.29509]
 [          0           0]
 [    0.32655     0.34855]
 [    0.36365     0.34026]
 [    0.31079     0.41628]
 [          0           0]
 [    0.26407     0.46518]
 [          0           0]
 [    0.34688     0.47485]
 [    0.37002     0.47062]
 [    0.34241     0.58161]
 [    0.35921     0.57449]
 [    0.37664     0.69638]
 [    0.37854     0.68186]]",155.5543160351058,166.59029038701416,15.607865544864845
20,"[[    0.29137     0.29501]
 [    0.29739     0.28817]
 [          0           0]
 [    0.31993     0.29692]
 [          0           0]
 [    0.32652     0.34949]
 [    0.36697     0.34142]
 [    0.31289     0.41778]
 [          0           0]
 [     0.2654     0.46837]
 [          0           0]
 [    0.34769     0.47675]
 [     0.3743     0.47245]
 [    0.34029     0.58392]
 [     0.3635     0.57591]
 [    0.37808     0.69942]
 [    0.38544     0.68259]]",154.72769885472727,164.4051679639261,14.528972749788291
21,"[[    0.29408     0.30058]
 [    0.30027     0.29377]
 [          0           0]
 [    0.32232     0.30031]
 [          0           0]
 [    0.32774     0.35034]
 [    0.36605     0.34134]
 [     0.3088     0.41998]
 [          0           0]
 [    0.25709     0.46917]
 [          0           0]
 [    0.35032     0.47595]
 [    0.37467     0.47133]
 [    0.34342     0.58252]
 [    0.36574     0.57394]
 [    0.37919     0.70126]
 [    0.38466     0.68353]]",154.50341620670605,165.56588161158425,17.867459833854312
22,"[[    0.29393     0.29841]
 [        0.3     0.29183]
 [          0           0]
 [     0.3212     0.30032]
 [          0           0]
 [    0.32664     0.35266]
 [    0.36818     0.34116]
 [    0.30584     0.42613]
 [          0           0]
 [    0.24719     0.47607]
 [          0           0]
 [    0.35545     0.47696]
 [     0.3808     0.47155]
 [    0.34995     0.58604]
 [    0.36909     0.57683]
 [    0.38624     0.70695]
 [    0.38557     0.68888]]",151.8620545017703,166.17499645362724,20.332470873812895
23,"[[    0.29319     0.29737]
 [    0.30017     0.29105]
 [          0           0]
 [    0.32357     0.30058]
 [          0           0]
 [    0.32924     0.35473]
 [    0.36156     0.34328]
 [    0.30531     0.43174]
 [          0           0]
 [    0.24324     0.48169]
 [          0           0]
 [    0.35907     0.47801]
 [    0.37847     0.47269]
 [    0.35295     0.58765]
 [    0.36857      0.5787]
 [    0.39025     0.71001]
 [    0.38812      0.6932]]",151.32809239884304,165.77919007587715,21.787092920105387
24,"[[    0.28949     0.29416]
 [     0.2968     0.28822]
 [          0           0]
 [    0.32148      0.2992]
 [          0           0]
 [    0.32838     0.35535]
 [    0.36324     0.33993]
 [    0.31033     0.43555]
 [          0           0]
 [    0.24944     0.47683]
 [          0           0]
 [    0.35504     0.47582]
 [    0.37537     0.46893]
 [    0.34759     0.59074]
 [    0.36418     0.58072]
 [    0.38982     0.70989]
 [    0.38686     0.69376]]",143.12136765936017,163.54397220355708,17.67457441119446
25,"[[    0.29205     0.29439]
 [    0.29992     0.28839]
 [          0           0]
 [     0.3229     0.30004]
 [          0           0]
 [     0.3295     0.35702]
 [    0.35598     0.34448]
 [    0.31579     0.43475]
 [          0           0]
 [    0.25132     0.46905]
 [          0           0]
 [    0.35811     0.47683]
 [    0.37411     0.47097]
 [    0.34447     0.59127]
 [    0.36038     0.58229]
 [     0.3901     0.70858]
 [    0.39043     0.69341]]",134.37730969755458,160.0906714095458,16.455817044120398
26,"[[      0.297     0.30161]
 [     0.3048     0.29486]
 [          0           0]
 [    0.32855     0.30286]
 [          0           0]
 [    0.33721     0.35746]
 [    0.35691     0.34668]
 [    0.32938     0.43531]
 [          0           0]
 [    0.25555     0.46459]
 [          0           0]
 [    0.35562     0.48179]
 [    0.36779     0.47662]
 [     0.3445      0.5918]
 [    0.35756     0.58483]
 [    0.39065     0.70507]
 [    0.39161     0.69272]]",123.664988998375,160.12441043306012,9.902040435389683
